section,cohort,external_cohort,label_key,diagnosis,headline,finding_class,feature,orientation,metric,value,lower_95,upper_95
shift_delta,,ningbo,733534002|164909002,complete left bundle branch block / left bundle branch block,True,geometric,,,shift_delta,-0.01358283462728127,-0.029877681018897404,0.0015296018149804564
shift_delta,,ningbo,713427006|59118001,complete right bundle branch block / right bundle branch block,True,geometric,,,shift_delta,-0.007731724941651197,-0.0114392975163258,-0.0039384196367188125
shift_delta,,ningbo,270492004,1st degree av block,True,geometric,,,shift_delta,-0.06610053650025105,-0.1102568783151092,-0.02073356172636703
shift_delta,,ningbo,39732003,left axis deviation,True,geometric,,,shift_delta,0.04924428851600515,0.03404128914365415,0.06485277017304208
shift_delta,,ningbo,164947007,prolonged pr interval,False,,,,shift_delta,-0.09565966077921428,-0.1863774006396938,-0.0032881943096929288
shift_delta,,ningbo,111975006,prolonged qt interval,False,,,,shift_delta,-0.08672568374755152,-0.1789852110496885,0.025891033223457864
shift_delta,,ningbo,698252002,nonspecific intraventricular conduction disorder,True,interpretive,,,shift_delta,0.003216959304790712,-0.06297936349122836,0.06883673675616002
shift_delta,,ningbo,426783006,sinus rhythm,True,interpretive,,,shift_delta,-0.24836445666266416,-0.27466310715727404,-0.2193537606068764
shift_delta,,ningbo,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,unclassified,,,shift_delta,0.029358657954507872,-0.03210752716826331,0.0996679836568262
shift_delta,,ningbo,164917005,qwave abnormal,True,unclassified,,,shift_delta,0.036444926046681925,-0.04104014535343882,0.11565172257438025
shift_delta,,ningbo,47665007,right axis deviation,True,geometric,,,shift_delta,-0.02818511881047736,-0.03247707021349829,-0.024107328676223568
shift_delta,,ningbo,426177001,sinus bradycardia,True,geometric,,,shift_delta,0.028495640075525075,0.008327637889670222,0.0546464681490439
shift_delta,,ningbo,427084000,sinus tachycardia,True,geometric,,,shift_delta,-0.017566816654860595,-0.04042456000929863,0.013945920398425227
shift_delta,,ningbo,164934002,t wave abnormal,True,interpretive,,,shift_delta,-0.06601216910424168,-0.09263050700322059,-0.03656260151147013
