cohort,architecture,threshold_set,label_key,diagnosis,threshold,threshold_attainable,records,positives,negatives,prevalence,tp,fp,tn,fn,sensitivity,specificity,ppv,npv,alerts_per_1000_records,alerts_per_true_positive,records_screened_per_true_positive,missed_cases_per_1000_records,sensitivity_lower_95,sensitivity_upper_95,specificity_lower_95,specificity_upper_95
ptb_test,s4d,registered_f1,713427006|59118001,complete right bundle branch block / right bundle branch block,0.2751598233977954,True,2198,54,2144,0.02456778889899909,50,11,2133,4,0.9259259259259259,0.9948694029850746,0.819672131147541,0.9981282171268133,27.75250227479527,1.22,43.96,1.8198362147406733,0.8431114551083592,0.9846153846153847,0.9914178963105674,0.9976819925470579
ptb_test,s4d,validation_sensitivity_90,713427006|59118001,complete right bundle branch block / right bundle branch block,0.16629035770893097,True,2198,54,2144,0.02456778889899909,54,15,2129,0,1.0,0.9930037313432836,0.782608695652174,1.0,31.392174704276616,1.2777777777777777,40.7037037037037,0.0,,,,
ptb_test,s4d,registered_f1,270492004,1st degree av block,0.29119457801183063,True,2198,79,2119,0.0359417652411283,49,36,2083,30,0.620253164556962,0.9830108541764984,0.5764705882352941,0.9858021769995268,38.67151956323931,1.7346938775510203,44.857142857142854,13.64877161055505,0.4939641683617587,0.7285924369747898,0.977218794494542,0.9885446985210595
ptb_test,s4d,validation_sensitivity_90,270492004,1st degree av block,0.03462343290448189,True,2198,79,2119,0.0359417652411283,76,207,1912,3,0.9620253164556962,0.9023124115148655,0.26855123674911663,0.9984334203655353,128.75341219290263,3.723684210526316,28.92105263157895,1.364877161055505,,,,
ptb_test,s4d,registered_f1,39732003,left axis deviation,0.377063512802124,True,2198,528,1670,0.24021838034576887,411,161,1509,117,0.7784090909090909,0.9035928143712575,0.7185314685314685,0.9280442804428044,260.2365787079163,1.391727493917275,5.347931873479319,53.2302092811647,0.7405994402173097,0.8150837356551722,0.8873845518867925,0.9186852260892935
ptb_test,s4d,validation_sensitivity_90,39732003,left axis deviation,0.24347727000713348,True,2198,528,1670,0.24021838034576887,453,225,1445,75,0.8579545454545454,0.8652694610778443,0.668141592920354,0.9506578947368421,308.4622383985441,1.4966887417218544,4.852097130242826,34.121929026387626,,,,
ptb_test,s4d,registered_f1,698252002,nonspecific intraventricular conduction disorder,0.20667148878177008,True,2198,79,2119,0.0359417652411283,15,39,2080,64,0.189873417721519,0.9815950920245399,0.2777777777777778,0.9701492537313433,24.56778889899909,3.6,146.53333333333333,29.117379435850772,0.10768817204301076,0.2828471279963816,0.9753080552034925,0.9872941176470589
ptb_test,s4d,validation_sensitivity_90,698252002,nonspecific intraventricular conduction disorder,0.011922342702746391,True,2198,79,2119,0.0359417652411283,58,934,1185,21,0.7341772151898734,0.559226050023596,0.05846774193548387,0.9825870646766169,451.319381255687,17.103448275862068,37.89655172413793,9.554140127388536,,,,
ptb_test,s4d,registered_f1,426783006,sinus rhythm,0.6555981089671453,True,2198,1822,376,0.8289353958143767,1767,131,245,55,0.9698133918770582,0.651595744680851,0.9309799789251844,0.8166666666666667,863.5122838944495,1.0741369552914544,1.2439162422184493,25.02274795268426,0.9615590546191864,0.9777165201322288,0.6015926611514847,0.7005151394912912
ptb_test,s4d,validation_sensitivity_90,426783006,sinus rhythm,0.9225329160690308,True,2198,1822,376,0.8289353958143767,1626,74,302,196,0.8924259055982436,0.8031914893617021,0.9564705882352941,0.606425702811245,773.4303912647862,1.045510455104551,1.3517835178351782,89.171974522293,,,,
ptb_test,s4d,registered_f1,284470004|63593006,premature atrial contraction / supraventricular premature beats,0.08699574321508408,True,2198,54,2144,0.02456778889899909,23,85,2059,31,0.42592592592592593,0.9603544776119403,0.21296296296296297,0.9851674641148326,49.13557779799818,4.695652173913044,95.56521739130434,14.103730664240219,0.29265752032520326,0.5609863072314933,0.9518587367157434,0.9687645687645687
ptb_test,s4d,validation_sensitivity_90,284470004|63593006,premature atrial contraction / supraventricular premature beats,0.006787722464650869,True,2198,54,2144,0.02456778889899909,49,955,1189,5,0.9074074074074074,0.554570895522388,0.04880478087649402,0.9958123953098827,456.778889899909,20.489795918367346,44.857142857142854,2.2747952684258417,,,,
ptb_test,s4d,registered_f1,164917005,qwave abnormal,0.09135571743051212,True,2198,55,2143,0.02502274795268426,32,224,1919,23,0.5818181818181818,0.895473635090994,0.125,0.9881565396498455,116.46951774340309,8.0,68.6875,10.464058234758872,0.45159709044908286,0.7068965517241379,0.8818564403819004,0.9097351953753551
ptb_test,s4d,validation_sensitivity_90,164917005,qwave abnormal,0.013988303020596504,True,2198,55,2143,0.02502274795268426,46,721,1422,9,0.8363636363636363,0.6635557629491368,0.05997392438070404,0.9937106918238994,348.9535941765241,16.67391304347826,47.78260869565217,4.094631483166515,,,,
ptb_test,s4d,registered_f1,47665007,right axis deviation,0.4843650857607524,True,2198,26,2172,0.011828935395814377,17,4,2168,9,0.6538461538461539,0.998158379373849,0.8095238095238095,0.9958658704639411,9.554140127388536,1.2352941176470589,129.2941176470588,4.094631483166515,0.4444444444444444,0.8333333333333334,0.996290972844438,0.9995466908431551
ptb_test,s4d,validation_sensitivity_90,47665007,right axis deviation,0.038587674498558044,True,2198,26,2172,0.011828935395814377,22,66,2106,4,0.8461538461538461,0.9696132596685083,0.25,0.9981042654028436,40.03639672429481,4.0,99.9090909090909,1.8198362147406733,,,,
ptb_test,s4d,registered_f1,426177001,sinus bradycardia,0.37229103843371075,True,2198,64,2134,0.029117379435850774,29,13,2121,35,0.453125,0.9939081537019682,0.6904761904761905,0.9837662337662337,19.10828025477707,1.4482758620689655,75.79310344827586,15.92356687898089,0.32856609808102344,0.5733333333333334,0.9903892359442575,0.996742671009772
ptb_test,s4d,validation_sensitivity_90,426177001,sinus bradycardia,0.05472344160079956,True,2198,64,2134,0.029117379435850774,51,142,1992,13,0.796875,0.9334582942830365,0.26424870466321243,0.9935162094763093,87.8070973612375,3.784313725490196,43.09803921568628,5.914467697907188,,,,
ptb_test,s4d,registered_f1,427084000,sinus tachycardia,0.4575389226277669,True,2198,82,2116,0.0373066424021838,73,16,2100,9,0.8902439024390244,0.9924385633270322,0.8202247191011236,0.9957325746799431,40.49135577797998,1.2191780821917808,30.10958904109589,4.094631483166515,0.8157894736842105,0.9540360501567396,0.9887159706272958,0.9957905075721893
ptb_test,s4d,validation_sensitivity_90,427084000,sinus tachycardia,0.29129886627197266,True,2198,82,2116,0.0373066424021838,77,27,2089,5,0.9390243902439024,0.9872400756143668,0.7403846153846154,0.9976122254059216,47.315741583257505,1.3506493506493507,28.545454545454547,2.2747952684258417,,,,
ptb_test,s4d,registered_f1,164934002,t wave abnormal,0.2709185431400935,True,2198,231,1967,0.10509554140127389,154,137,1830,77,0.6666666666666666,0.9303507880020335,0.5292096219931272,0.9596224436287363,132.39308462238398,1.8896103896103895,14.272727272727273,35.031847133757964,0.6043478260869565,0.726426985888695,0.9182189853802284,0.941926928448754
ptb_test,s4d,validation_sensitivity_90,164934002,t wave abnormal,0.059640076011419296,True,2198,231,1967,0.10509554140127389,212,447,1520,19,0.9177489177489178,0.7727503812913066,0.3216995447647951,0.9876543209876543,299.81801637852595,3.108490566037736,10.367924528301886,8.644222020018198,,,,
ptb_test,s4d,registered_f1,59931005,t wave inversion,0.15451858441034952,True,2198,29,2169,0.013193812556869881,14,75,2094,15,0.4827586206896552,0.9654218533886584,0.15730337078651685,0.9928876244665719,40.49135577797998,6.357142857142857,157.0,6.824385805277525,0.29411764705882354,0.6573809523809511,0.9571934358951358,0.9730962681055508
ptb_test,s4d,validation_sensitivity_90,59931005,t wave inversion,0.012925218790769577,True,2198,29,2169,0.013193812556869881,29,309,1860,0,1.0,0.8575380359612724,0.08579881656804733,1.0,153.77616014558689,11.655172413793103,75.79310344827586,0.0,,,,
chapman_shaoxing,xresnet1d101,registered_f1,733534002|164909002,complete left bundle branch block / left bundle branch block,0.1104494792719682,True,10247,205,10042,0.02000585537230409,85,49,9993,120,0.4146341463414634,0.9951204939255128,0.6343283582089553,0.9881340848412934,13.07699814579877,1.576470588235294,120.55294117647058,11.710744608178004,0.34633677298311444,0.4822390684833912,0.9937194226716485,0.996415770609319
chapman_shaoxing,xresnet1d101,validation_sensitivity_90,733534002|164909002,complete left bundle branch block / left bundle branch block,0.14095604419708252,True,10247,205,10042,0.02000585537230409,83,47,9995,122,0.40487804878048783,0.9953196574387572,0.6384615384615384,0.9879410892557082,12.686639992192838,1.5662650602409638,123.4578313253012,11.90592368498097,,,,
chapman_shaoxing,xresnet1d101,registered_f1,713427006|59118001,complete right bundle branch block / right bundle branch block,0.3530633548895518,True,10247,454,9793,0.044305650434273446,328,27,9766,126,0.7224669603524229,0.9972429286224854,0.923943661971831,0.9872624342903357,34.644286132526595,1.0823170731707317,31.240853658536587,12.296281838586903,0.6789796251190244,0.7626401647133354,0.9961172389125883,0.9982539880629238
chapman_shaoxing,xresnet1d101,validation_sensitivity_90,713427006|59118001,complete right bundle branch block / right bundle branch block,0.22424593567848206,True,10247,454,9793,0.044305650434273446,348,36,9757,106,0.7665198237885462,0.9963239048299806,0.90625,0.9892527628510596,37.47438274616961,1.103448275862069,29.445402298850574,10.344491070557236,,,,
chapman_shaoxing,xresnet1d101,registered_f1,270492004,1st degree av block,0.3855339288711548,True,10247,247,10000,0.02410461598516639,98,40,9960,149,0.3967611336032389,0.996,0.7101449275362319,0.9852606588188743,13.467356299404704,1.4081632653061225,104.56122448979592,14.54084122182102,0.3347107438016529,0.4564493183165381,0.9947005299470053,0.9972013993003498
chapman_shaoxing,xresnet1d101,validation_sensitivity_90,270492004,1st degree av block,0.03383258357644081,True,10247,247,10000,0.02410461598516639,217,630,9370,30,0.8785425101214575,0.937,0.256198347107438,0.9968085106382979,82.65833902605641,3.903225806451613,47.22119815668203,2.927686152044501,,,,
chapman_shaoxing,xresnet1d101,registered_f1,39732003,left axis deviation,0.3978004455566406,True,10247,382,9865,0.03727920366936664,333,806,9059,49,0.8717277486910995,0.918297009630005,0.2923617208077261,0.9946201141853316,111.15448423928954,3.4204204204204203,30.77177177177177,4.781887381672685,0.8379694653918665,0.9034653465346535,0.912936825838184,0.9236633672960601
chapman_shaoxing,xresnet1d101,validation_sensitivity_90,39732003,left axis deviation,0.23052160441875458,True,10247,382,9865,0.03727920366936664,361,1108,8757,21,0.9450261780104712,0.887683730359858,0.24574540503744044,0.9976076555023924,143.35903191177906,4.069252077562327,28.385041551246537,2.0493803064311504,,,,
