external_cohort,architecture,label_key,diagnosis,estimand,internal_auroc,external_auroc,shift_delta,shift_delta_lower_95,shift_delta_upper_95,excludes_zero
chapman_shaoxing,s4d,47665007,right axis deviation,union,0.9906856495254285,0.9686153147138459,-0.022070334811582604,-0.03224228190897973,-0.01035432235517039,True
chapman_shaoxing,s4d,47665007,right axis deviation,restricted,0.9906856495254285,0.9686153147138459,-0.022070334811582604,-0.03224228190897973,-0.01035432235517039,True
ningbo,s4d,47665007,right axis deviation,as_registered,0.9906856495254285,0.9631366185495371,-0.027549030975891342,-0.035062194869604726,-0.017384606772907735,True
ningbo,s4d,47665007,right axis deviation,union,0.9906856495254285,0.9631366185495371,-0.027549030975891342,-0.035062194869604726,-0.017384606772907735,True
ningbo,s4d,47665007,right axis deviation,restricted,0.9906856495254285,0.9631366185495371,-0.027549030975891342,-0.035062194869604726,-0.017384606772907735,True
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,as_registered,0.9564711223055296,0.9821747419808138,0.02570361967528423,0.00524937999203397,0.05322578152796924,True
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,union,0.9564711223055296,0.9821747419808138,0.02570361967528423,0.00524937999203397,0.05322578152796924,True
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,restricted,0.9564711223055296,0.9821747419808138,0.02570361967528423,0.00524937999203397,0.05322578152796924,True
ningbo,xresnet1d101,426177001,sinus bradycardia,as_registered,0.9564711223055296,0.9653671275953974,0.008896005289867892,-0.01185551856087369,0.03653314233143883,False
ningbo,xresnet1d101,426177001,sinus bradycardia,union,0.9564711223055296,0.9653671275953974,0.008896005289867892,-0.01185551856087369,0.03653314233143883,False
ningbo,xresnet1d101,426177001,sinus bradycardia,restricted,0.9564711223055296,0.9653671275953974,0.008896005289867892,-0.01185551856087369,0.03653314233143883,False
chapman_shaoxing,s4d,426177001,sinus bradycardia,as_registered,0.9576279873477038,0.9799046859569797,0.022276698609275836,0.002817595226404465,0.04874163476839588,True
chapman_shaoxing,s4d,426177001,sinus bradycardia,union,0.9576279873477038,0.9799046859569797,0.022276698609275836,0.002817595226404465,0.04874163476839588,True
chapman_shaoxing,s4d,426177001,sinus bradycardia,restricted,0.9576279873477038,0.9799046859569797,0.022276698609275836,0.002817595226404465,0.04874163476839588,True
ningbo,s4d,426177001,sinus bradycardia,as_registered,0.9576279873477038,0.9669534883266905,0.009325500978986656,-0.009428460734109386,0.03574743364698644,False
ningbo,s4d,426177001,sinus bradycardia,union,0.9576279873477038,0.9669534883266905,0.009325500978986656,-0.009428460734109386,0.03574743364698644,False
ningbo,s4d,426177001,sinus bradycardia,restricted,0.9576279873477038,0.9669534883266905,0.009325500978986656,-0.009428460734109386,0.03574743364698644,False
chapman_shaoxing,xresnet1d101,427084000,sinus tachycardia,as_registered,0.995124256535571,0.9946157861692897,-0.0005084703662813217,-0.00464265087550329,0.0053650320534258285,False
chapman_shaoxing,xresnet1d101,427084000,sinus tachycardia,union,0.995124256535571,0.9946157861692897,-0.0005084703662813217,-0.00464265087550329,0.0053650320534258285,False
chapman_shaoxing,xresnet1d101,427084000,sinus tachycardia,restricted,0.995124256535571,0.9946157861692897,-0.0005084703662813217,-0.00464265087550329,0.0053650320534258285,False
ningbo,xresnet1d101,427084000,sinus tachycardia,as_registered,0.995124256535571,0.9880769859115128,-0.007047270624058188,-0.010749942699704371,-0.0016369648667439876,True
ningbo,xresnet1d101,427084000,sinus tachycardia,union,0.995124256535571,0.9880769859115128,-0.007047270624058188,-0.010749942699704371,-0.0016369648667439876,True
ningbo,xresnet1d101,427084000,sinus tachycardia,restricted,0.995124256535571,0.9880769859115128,-0.007047270624058188,-0.010749942699704371,-0.0016369648667439876,True
chapman_shaoxing,s4d,427084000,sinus tachycardia,as_registered,0.9945709806814514,0.991733873812228,-0.002837106869223449,-0.006612946479047152,0.001896551520932591,False
chapman_shaoxing,s4d,427084000,sinus tachycardia,union,0.9945709806814514,0.991733873812228,-0.002837106869223449,-0.006612946479047152,0.001896551520932591,False
chapman_shaoxing,s4d,427084000,sinus tachycardia,restricted,0.9945709806814514,0.991733873812228,-0.002837106869223449,-0.006612946479047152,0.001896551520932591,False
ningbo,s4d,427084000,sinus tachycardia,as_registered,0.9945709806814514,0.9863009983837173,-0.008269982297734124,-0.011786972436508536,-0.00358487915909617,True
ningbo,s4d,427084000,sinus tachycardia,union,0.9945709806814514,0.9863009983837173,-0.008269982297734124,-0.011786972436508536,-0.00358487915909617,True
ningbo,s4d,427084000,sinus tachycardia,restricted,0.9945709806814514,0.9863009983837173,-0.008269982297734124,-0.011786972436508536,-0.00358487915909617,True
chapman_shaoxing,xresnet1d101,164934002,t wave abnormal,as_registered,0.9195095702467334,0.7576116932276346,-0.16189787701909886,-0.18261669716333634,-0.14058144880908438,True
chapman_shaoxing,xresnet1d101,164934002,t wave abnormal,union,0.9081408373951743,0.7462469445798857,-0.16189389281528854,-0.18334407466775024,-0.13982651884234013,True
chapman_shaoxing,xresnet1d101,164934002,t wave abnormal,restricted,0.9203608141775104,0.7643905102703005,-0.1559703039072099,-0.1765025139244345,-0.1341135389539189,True
