section,cohort,architecture,rung,label_key,diagnosis,sample_size,metric,value,lower_95,upper_95
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,284470004|63593006,premature atrial contraction / supraventricular premature beats,,offset,1.3110134070698776,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,164917005,qwave abnormal,,slope,0.7087523965648254,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,164917005,qwave abnormal,,offset,-0.8837868113562716,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,47665007,right axis deviation,,slope,0.9903219566612763,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,47665007,right axis deviation,,offset,0.06051901848737704,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,426177001,sinus bradycardia,,slope,1.0087670473651307,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,426177001,sinus bradycardia,,offset,0.2089751248281298,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,427084000,sinus tachycardia,,slope,1.035635195654157,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,427084000,sinus tachycardia,,offset,-0.03615088562616025,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,164934002,t wave abnormal,,slope,1.0194336957256012,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,164934002,t wave abnormal,,offset,-0.18350742154402364,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,59931005,t wave inversion,,slope,0.902624886048249,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,59931005,t wave inversion,,offset,-0.29749439617096607,,
ladder,ptb_test,xresnet1d101,prevalence_only_intercept,,,,macro_per_label_ece,0.009904415727443026,0.010941682465402593,0.014212028112307942
ladder,ptb_test,xresnet1d101,prevalence_only_intercept,,,,pooled_ece,0.0032353869119240036,,
ladder,ptb_test,xresnet1d101,prevalence_only_intercept,,,,macro_brier,0.02645747657186877,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,733534002|164909002,complete left bundle branch block / left bundle branch block,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,733534002|164909002,complete left bundle branch block / left bundle branch block,,offset,-0.00018745654223728536,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,733534002|164909002,complete left bundle branch block / left bundle branch block,,source_prevalence,0.02457228154782409,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,733534002|164909002,complete left bundle branch block / left bundle branch block,,target_prevalence,0.02456778889899909,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,713427006|59118001,complete right bundle branch block / right bundle branch block,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,713427006|59118001,complete right bundle branch block / right bundle branch block,,offset,-0.012096323034223477,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,713427006|59118001,complete right bundle branch block / right bundle branch block,,source_prevalence,0.02485934091170054,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,713427006|59118001,complete right bundle branch block / right bundle branch block,,target_prevalence,0.02456778889899909,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,270492004,1st degree av block,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,prevalence_only_intercept,270492004,1st degree av block,,offset,-0.016388106711384687,,
