cohort,architecture,calibration,label_key,bin,lower,upper,count,mean_probability,observed_frequency
ptb_test,xresnet1d101,uncalibrated,698252002,8,0.4666666666666667,0.5333333333333333,4,0.5118085518479347,0.75
ptb_test,xresnet1d101,uncalibrated,698252002,9,0.5333333333333333,0.6,4,0.5551841259002686,0.5
ptb_test,xresnet1d101,uncalibrated,698252002,10,0.6,0.6666666666666666,1,0.6397096514701843,0.0
ptb_test,xresnet1d101,uncalibrated,698252002,11,0.6666666666666666,0.7333333333333333,0,,
ptb_test,xresnet1d101,uncalibrated,698252002,12,0.7333333333333333,0.8,0,,
ptb_test,xresnet1d101,uncalibrated,698252002,13,0.8,0.8666666666666667,0,,
ptb_test,xresnet1d101,uncalibrated,698252002,14,0.8666666666666667,0.9333333333333333,1,0.903083860874176,0.0
ptb_test,xresnet1d101,uncalibrated,698252002,15,0.9333333333333333,1.0,0,,
ptb_test,xresnet1d101,uncalibrated,426783006,1,0.0,0.06666666666666667,158,0.01939264082714924,0.012658227848101266
ptb_test,xresnet1d101,uncalibrated,426783006,2,0.06666666666666667,0.13333333333333333,36,0.09723053293095694,0.08333333333333333
ptb_test,xresnet1d101,uncalibrated,426783006,3,0.13333333333333333,0.2,19,0.16595394517246045,0.10526315789473684
ptb_test,xresnet1d101,uncalibrated,426783006,4,0.2,0.26666666666666666,19,0.22906274152429482,0.3684210526315789
ptb_test,xresnet1d101,uncalibrated,426783006,5,0.26666666666666666,0.3333333333333333,16,0.2939845845103264,0.4375
ptb_test,xresnet1d101,uncalibrated,426783006,6,0.3333333333333333,0.4,14,0.36820395077977863,0.42857142857142855
ptb_test,xresnet1d101,uncalibrated,426783006,7,0.4,0.4666666666666667,12,0.43498652428388596,0.75
ptb_test,xresnet1d101,uncalibrated,426783006,8,0.4666666666666667,0.5333333333333333,14,0.506540338907923,0.2857142857142857
ptb_test,xresnet1d101,uncalibrated,426783006,9,0.5333333333333333,0.6,13,0.5741612223478464,0.6153846153846154
ptb_test,xresnet1d101,uncalibrated,426783006,10,0.6,0.6666666666666666,23,0.6384464295014091,0.5652173913043478
ptb_test,xresnet1d101,uncalibrated,426783006,11,0.6666666666666666,0.7333333333333333,32,0.7001218795776367,0.625
ptb_test,xresnet1d101,uncalibrated,426783006,12,0.7333333333333333,0.8,48,0.7677415683865547,0.7291666666666666
