cohort,architecture,label_key,diagnosis,records,positives,prevalence,threshold,net_benefit_calibrated,net_benefit_uncalibrated,net_benefit_treat_all,net_benefit_gain,standardized_net_benefit_calibrated,flagged_fraction,true_positives,false_positives,net_benefit_calibrated_lower_95,net_benefit_calibrated_upper_95,net_benefit_gain_lower_95,net_benefit_gain_upper_95
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.08,0.12241122534273022,0.11443434133426114,0.32557142917757476,-0.20316020383484454,0.32253736849754605,0.12442666146189128,1256,19,,,,
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.09,0.11296149931848186,0.10693990307535736,0.31816012620150413,-0.20519862688302226,0.2976385918016157,0.11457011808334147,1159,15,,,,
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.1,0.10469188814070243,0.09896663522114874,0.3105841276037431,-0.20589223946304067,0.27584926144967287,0.10588464916560944,1074,11,0.09865190895980396,0.11037403901412879,-0.2154251108725589,-0.19596846773581428
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.11,0.09651714999073448,0.09156420678894234,0.30283788184648175,-0.20632073185574729,0.2543099089624727,0.0973943593246804,990,8,,,,
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.12,0.09009288749700578,0.08551948685646353,0.2949155850492827,-0.20482269755227694,0.23738282802309546,0.09075827071337952,924,6,,,,
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.13,0.0846348076083945,0.08064821887875229,0.2868111664866308,-0.20217635887823632,0.22300151030167611,0.08519566702449498,868,5,,,,
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.14,0.07986228527464646,0.07605629327698861,0.2785182730736846,-0.19865598779903815,0.21042654595250768,0.0803161901044208,819,4,,,,
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.15,0.07566059506656181,0.07234255076091137,0.27003025275690445,-0.19436965769034265,0.1993556486621391,0.07611983995315702,776,4,,,,
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.16,0.07194672540627454,0.0695255754297425,0.26134013671829615,-0.1893934113120216,0.18957009391568405,0.07241143749390065,738,4,,,,
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.17,0.06915100628923423,0.06749198413640901,0.2524406202932154,-0.18328961400398117,0.18220374426479383,0.06938616180345467,709,2,,,,
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.18,0.06719634777103113,0.06495178838779701,0.24332404249191317,-0.17612769472088202,0.17705347791456827,0.067434371035425,689,2,,,,
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.19,0.06475367075217439,0.06221634275373581,0.233982364004159,-0.1692286932519846,0.17061734744086682,0.06499463257538791,664,2,,,,
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.2,0.061627793500536744,0.059676002732507075,0.22440714355421099,-0.16277935005367425,0.16238107482643355,0.06187176734654045,632,2,0.05684407631501903,0.0660193227286035,-0.17458829413486873,-0.15131257929149994
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.21,0.05947773537917241,0.05811148184155165,0.2145895124599605,-0.15511177708078808,0.15671595639762914,0.05972479750170782,610,2,,,,
